source,target
Antwerp,LiverpoolUK
LiverpoolUK,ChesterPA
ChesterPA,WilmingtonNC
WilmingtonNC,Antwerp
Zeebrugge,Bremerhaven
Bremerhaven,Emden
Emden,SouthamptonUK
SouthamptonUK,PortHuenemeCA
PortHuenemeCA,SanDiegoCA
SanDiegoCA,Hitachi
Hitachi,Yokohama
Antwerp,Hamburg
Hamburg,LondonGateway
LondonGateway,CharlestonSC
CharlestonSC,PortEvergladesFL
PortEvergladesFL,HoustonTX
HoustonTX,SavannahGA
SavannahGA,NorfolkVA
NorfolkVA,Antwerp
ReykjavikIceland,ArgentiaNewfoundland
ArgentiaNewfoundland,HalifaxNovaScotia
HalifaxNovaScotia,PortlandME
PortlandME,ArgentiaNewfoundland
ArgentiaNewfoundland,ReykjavikIceland
Balboa,Guayaquil
Guayaquil,Callao
Callao,Paita
Paita,Guayaquil
Guayaquil,Balboa
Guayaquil,Rodman
Rodman,Guayaquil
Shanghai,Ningbo
Ningbo,ShekouShenzhenChiwan
ShekouShenzhenChiwan,Nansha
Nansha,TanjungPelepas
TanjungPelepas,Singapore
Singapore,Cotonou
Cotonou,Abidjan
Abidjan,Apapa
Apapa,Lome
Lome,Colombo
Colombo,Singapore
Singapore,Shanghai
Ningbo,Taipei
Taipei,Xiamen
Xiamen,ShekouShenzhenChiwan
ShekouShenzhenChiwan,Singapore
Singapore,Djibouti
Djibouti,Jeddah
Jeddah,Sokhna
Sokhna,Aqaba
Aqaba,Djibouti
Djibouti,Singapore
Qingdao,Shanghai
Ningbo,Nansha
Nansha,Singapore
Singapore,PortKelang
PortKelang,Singapore
PortKelang,Colombo
Colombo,Apapa
Apapa,LagosTinCanIsland
LagosTinCanIsland,Tema
Tema,PortKelang
Singapore,Qingdao
Singapore,TanjungPelepas
TanjungPelepas,PortKelang
Colombo,Mombasa
Mombasa,Colombo
Colombo,PortKelang
Kawasaki,Kobe
Kobe,ShimonosekiChofu
ShimonosekiChofu,XingangTianjin
XingangTianjin,Shanghai
Shanghai,Singapore
Singapore,Mombasa
Mombasa,DaresSalaam
DaresSalaam,Maputo
Maputo,Durban
Durban,Singapore
Singapore,Hitachinaka
XingangTianjin,Nansha
Nansha,ShekouShenzhenChiwan
Singapore,Colombo
Colombo,Lome
Lome,Durban
Durban,PortLouis
PortLouis,Colombo
Singapore,XingangTianjin
Singapore,PortLouis
PortLouis,Reunion
Reunion,TamataveToamasinaMalagasay
TamataveToamasinaMalagasay,Maputo
Maputo,Beira
Beira,PortKelang
Ningbo,Shanghai
Shanghai,Qingdao
Qingdao,Busan
Busan,Yokohama
Yokohama,EnsenadaMEX
EnsenadaMEX,ManzanilloMEX
ManzanilloMEX,PuertoQuetzal
PuertoQuetzal,Rodman
Rodman,Buenaventura
