source,target
Shanghai,Ningbo
Ningbo,Taipei
Taipei,Xiamen
Xiamen,ShekouShenzhenChiwan
ShekouShenzhenChiwan,Singapore
Singapore,Djibouti
Djibouti,Jeddah
Jeddah,Sokhna
Sokhna,Aqaba
Aqaba,Djibouti
Djibouti,Singapore
Singapore,Shanghai
Guayaquil,Rodman
Rodman,Guayaquil
Ningbo,ShekouShenzhenChiwan
Singapore,TanjungPelepas
TanjungPelepas,PortKelang
PortKelang,Colombo
Colombo,Mombasa
Mombasa,Colombo
Colombo,PortKelang
PortKelang,Singapore
TanjungPelepas,Singapore
Kaohsiung,Xiamen
Xiamen,HongKong
HongKong,ShekouShenzhenChiwan
Singapore,PortKelang
PortKelang,Durban
Durban,CapeTown
CapeTown,PortKelang
Singapore,Kaohsiung
Bremerhaven,Zeebrugge
Zeebrugge,SouthamptonUK
SouthamptonUK,BaltimoreMD
BaltimoreMD,SavannahGA
SavannahGA,ManzanilloPanama
ManzanilloPanama,Auckland
Auckland,BrisbaneAU
BrisbaneAU,PortKembla
PortKembla,MelbourneAU
MelbourneAU,Fremantle
Fremantle,Singapore
Singapore,Inchon
Inchon,Masan
Masan,Kobe
Kobe,Nagoya
Nagoya,Yokohama
Yokohama,Hitachinaka
Hitachinaka,TacomaWA
TacomaWA,LongBeach
LongBeach,LazaroCardenasMEX
LazaroCardenasMEX,ManzanilloPanama
ManzanilloPanama,BrunswickGA
BrunswickGA,SavannahGA
SavannahGA,NorfolkVA
NorfolkVA,BaltimoreMD
BaltimoreMD,NewarkNJ
NewarkNJ,Zeebrugge
Zeebrugge,Bremerhaven
Bremerhaven,SouthamptonUK
YantianShenzhen,Xiamen
Xiamen,Ningbo
Ningbo,Shanghai
Shanghai,Busan
Busan,NewYorkNYNJ
NewYorkNYNJ,BaltimoreMD
BaltimoreMD,NorfolkVA
NorfolkVA,NewYorkNYNJ
NewYorkNYNJ,Salalah
Salalah,Colombo
Colombo,TanjungPelepas
TanjungPelepas,YantianShenzhen
Singapore,CaiMepnearHoChiMinh
CaiMepnearHoChiMinh,HongKong
ShekouShenzhenChiwan,Ningbo
Busan,HoustonTX
HoustonTX,MobileAL
MobileAL,NewOrleansLA
NewOrleansLA,TampaFL
TampaFL,MiamiFL
MiamiFL,Singapore
Singapore,Auckland
Auckland,Lyttelton
Lyttelton,WellingtonWGN
WellingtonWGN,Napier
Napier,Tauranga
Tauranga,BrisbaneAU
BrisbaneAU,PortKelang
LaemChabangThailand,Singapore
Colombo,DubaiJebelAli
DubaiJebelAli,Karachi
Karachi,Mundra
Mundra,Colombo
Singapore,LaemChabangThailand
MumbaiOldPort,Jeddah
Jeddah,Leghorn
Leghorn,VeracruzMEX
VeracruzMEX,HoustonTX
HoustonTX,SavannahGA
SavannahGA,WilmingtonNC
WilmingtonNC,BaltimoreMD
BaltimoreMD,HalifaxNovaScotia
HalifaxNovaScotia,Leghorn
Leghorn,Jeddah
Jeddah,DubaiJebelAli
DubaiJebelAli,Dammam
Dammam,MumbaiOldPort
Antwerp,Hamburg
Hamburg,Leixoes
Leixoes,LisbonPT
LisbonPT,CasablancaMorocco
CasablancaMorocco,Dakar
Dakar,Nouakchott
Nouakchott,Conakry
Conakry,Lome
Lome,Luanda
Luanda,PointeNoire
PointeNoire,Bata
Bata,Malabo
Malabo,Douala
Douala,Antwerp
Hamburg,Tilbury
Tilbury,Antwerp
Antwerp,CasablancaMorocco
CasablancaMorocco,Abidjan
Abidjan,Cotonou
Cotonou,LagosTinCanIsland
LagosTinCanIsland,Tema
Tema,Hamburg
Antwerp,LeHavre
LeHavre,LisbonPT
LisbonPT,Algeciras
Algeciras,PointeNoire
PointeNoire,Luanda
Luanda,Kribi
Kribi,Douala
DubaiJebelAli,Hamad
Hamad,Dammam
Dammam,Jubail
Jubail,DubaiJebelAli
DubaiJebelAli,Jeddah
Jeddah,PortSaidEgypt
