source,target
Busan,XingangTianjin
XingangTianjin,Qingdao
Qingdao,Shanghai
Shanghai,Ningbo
Ningbo,Shanghai
Ningbo,Nansha
Nansha,TanjungPelepas
TanjungPelepas,Singapore
Singapore,TanjungPelepas
Singapore,CapeTown
CapeTown,PointeNoire
PointeNoire,Luanda
Luanda,CapeTown
CapeTown,PortKelang
PortKelang,Singapore
Singapore,Busan
Busan,Shanghai
Ningbo,Kaohsiung
Kaohsiung,YantianShenzhen
YantianShenzhen,Singapore
Singapore,Colombo
Colombo,Rotterdam
Rotterdam,Hamburg
Hamburg,Rotterdam
Hamburg,SouthamptonUK
SouthamptonUK,Singapore
Singapore,HongKong
HongKong,Busan
Antwerp,Bremerhaven
Bremerhaven,SouthamptonUK
SouthamptonUK,BaltimoreMD
BaltimoreMD,CharlestonSC
CharlestonSC,GalvestonTX
GalvestonTX,CharlestonSC
CharlestonSC,BaltimoreMD
BaltimoreMD,Antwerp
StPetersburgRussia,Antwerp
Antwerp,PhiladelphiaPA
PhiladelphiaPA,NewOrleansLA
NewOrleansLA,HoustonTX
HoustonTX,Antwerp
Antwerp,StPetersburgRussia
Antwerp,LiverpoolUK
LiverpoolUK,ChesterPA
ChesterPA,WilmingtonNC
WilmingtonNC,Antwerp
Zeebrugge,Bremerhaven
BaltimoreMD,BrunswickGA
BrunswickGA,CharlestonSC
CharlestonSC,Zeebrugge
Ningbo,Singapore
Colombo,DubaiJebelAli
DubaiJebelAli,Dammam
Dammam,UmmQasr
UmmQasr,Hamad
Hamad,Shanghai
Bremerhaven,Emden
Emden,SouthamptonUK
SouthamptonUK,PortHuenemeCA
PortHuenemeCA,SanDiegoCA
SanDiegoCA,Hitachi
Hitachi,Yokohama
SouthamptonUK,CharlestonSC
CharlestonSC,PortHuenemeCA
Yokohama,Pyongtaek
Pyongtaek,XingangTianjin
XingangTianjin,Shanghai
Shanghai,XinshaGuangzhou
Antwerp,SouthamptonUK
SouthamptonUK,Antwerp
Antwerp,Rotterdam
Rotterdam,Bremerhaven
Bremerhaven,LeHavre
LeHavre,NewYorkNYNJ
NewYorkNYNJ,NorfolkVA
NorfolkVA,SavannahGA
SavannahGA,CharlestonSC
CharlestonSC,SouthamptonUK
Antwerp,Hamburg
Hamburg,LondonGateway
LondonGateway,CharlestonSC
CharlestonSC,PortEvergladesFL
PortEvergladesFL,HoustonTX
HoustonTX,SavannahGA
SavannahGA,NorfolkVA
NorfolkVA,Antwerp
LeHavre,LondonGateway
LondonGateway,Rotterdam
Hamburg,NewYorkNYNJ
NewYorkNYNJ,CharlestonSC
CharlestonSC,SavannahGA
SavannahGA,LeHavre
ReykjavikIceland,ArgentiaNewfoundland
ArgentiaNewfoundland,HalifaxNovaScotia
HalifaxNovaScotia,PortlandME
PortlandME,ArgentiaNewfoundland
ArgentiaNewfoundland,ReykjavikIceland
Hamburg,Antwerp
Antwerp,Bilbao
Bilbao,Vitoria
Vitoria,RiodeJaneiro
RiodeJaneiro,BuenosAires
Bilbao,Callao
Callao,Mejillones
Mejillones,Valparaiso
Itajai,Paranagua
Paranagua,Santos
Santos,CapeTown
CapeTown,Durban
Durban,PortElizabethZA
PortElizabethZA,Luanda
Luanda,PointeNoire
PointeNoire,Itajai
CristobalPanama,ManzanilloPanama
ManzanilloPanama,PortofSpainTrinidad
PortofSpainTrinidad,Macapa
Macapa,Manaus
Manaus,Macapa
Macapa,ViladoCondenearBelem
ViladoCondenearBelem,CristobalPanama
PuertoMadryn,BahiaBlanca
BahiaBlanca,PortoItapoa
PortoItapoa,RiodeJaneiro
RiodeJaneiro,Santos
Santos,RioGrandeBR
RioGrandeBR,SanAntonioCL
SanAntonioCL,Callao
Callao,Guayaquil
Guayaquil,AricaCL
AricaCL,Antofagasta
Antofagasta,AricaCL
Antofagasta,SanAntonioCL
SanAntonioCL,SanVicente
SanVicente,PuertoMadryn
ColonPanama,Buenaventura
Buenaventura,Guayaquil
Guayaquil,Callao
Callao,Matarani
Matarani,AricaCL
AricaCL,Iquique
Iquique,SanAntonioCL
Guayaquil,Buenaventura
Buenaventura,ColonPanama
Balboa,Esmeraldas
Esmeraldas,AricaCL
AricaCL,SanAntonioCL
SanVicente,Balboa
Balboa,Guayaquil
Callao,Paita
Paita,Guayaquil
Guayaquil,Balboa
Guayaquil,Rodman
Rodman,Guayaquil
HongKong,CaiMepnearHoChiMinh
CaiMepnearHoChiMinh,Singapore
Singapore,PortKelang
PortKelang,Colombo
Colombo,HalifaxNovaScotia
HalifaxNovaScotia,NewYorkNYNJ
CharlestonSC,PortKelang
Singapore,Jakarta
