source,target
CristobalPanama,ManzanilloPanama
ManzanilloPanama,PortofSpainTrinidad
PortofSpainTrinidad,Macapa
Macapa,Manaus
Manaus,Macapa
Macapa,ViladoCondenearBelem
ViladoCondenearBelem,CristobalPanama
Singapore,Chittagong
Chittagong,Singapore
Algeciras,LondonGateway
LondonGateway,Rotterdam
Rotterdam,LeHavre
LeHavre,StMaartenPhilipsburg
StMaartenPhilipsburg,PortofSpainTrinidad
PortofSpainTrinidad,DegraddesCannes
DegraddesCannes,ViladoCondenearBelem
ViladoCondenearBelem,Fortaleza
Fortaleza,Natal
Natal,Algeciras
FernandinaBeachFL,HamiltonBermuda
HamiltonBermuda,FernandinaBeachFL
Guayaquil,PuertoCaldera
PuertoCaldera,PuertoQuetzal
PuertoQuetzal,SanDiegoCA
SanDiegoCA,Guayaquil
Kaohsiung,ShekouShenzhenChiwan
ShekouShenzhenChiwan,HongKong
HongKong,Ningbo
Ningbo,Shanghai
Shanghai,ManzanilloMEX
ManzanilloMEX,LazaroCardenasMEX
LazaroCardenasMEX,PuertoQuetzal
PuertoQuetzal,Callao
Callao,Guayaquil
Guayaquil,ManzanilloMEX
ManzanilloMEX,Busan
Busan,Kaohsiung
PalmBeachFL,Providenciales
Providenciales,PalmBeachFL
LeHavre,Felixstowe
Felixstowe,Bremerhaven
Bremerhaven,Hamburg
Hamburg,Antwerp
Antwerp,Sines
Sines,Piraeus
Piraeus,AmbarliIstanbul
AmbarliIstanbul,GemlikIstanbul
GemlikIstanbul,Tekirdag
Tekirdag,Aliaga
Aliaga,Sines
Sines,LeHavre
JacksonvilleFL,NassauBahamas
NassauBahamas,FreeportBahamas
FreeportBahamas,JacksonvilleFL
Antwerp,Rotterdam
Rotterdam,Bremerhaven
Bremerhaven,NorfolkVA
NorfolkVA,CharlestonSC
CharlestonSC,HoustonTX
HoustonTX,NorfolkVA
NorfolkVA,Antwerp
LianyungangJiangsu,Qingdao
Qingdao,Shanghai
Shanghai,HongKong
HongKong,ShekouShenzhenChiwan
ShekouShenzhenChiwan,Singapore
Singapore,DubaiJebelAli
DubaiJebelAli,Hamad
Hamad,Dammam
Dammam,Jubail
Jubail,AbuDhabi
AbuDhabi,Singapore
Singapore,Nansha
Nansha,LianyungangJiangsu
JacksonvilleFL,SanJuanPR
SanJuanPR,JacksonvilleFL
PortEvergladesFL,SantoTomasdeCastilla
SantoTomasdeCastilla,PuertoCortes
PuertoCortes,PortEvergladesFL
PalmBeachFL,NassauBahamas
NassauBahamas,PalmBeachFL
Busan,Shanghai
Shanghai,Ningbo
Ningbo,ShekouShenzhenChiwan
Singapore,KingAbdullahCity
KingAbdullahCity,PortSaidEgypt
PortSaidEgypt,Piraeus
Piraeus,Izmit
Izmit,AmbarliIstanbul
AmbarliIstanbul,Izmit
AmbarliIstanbul,Tekirdag
Tekirdag,Piraeus
Piraeus,KingAbdullahCity
KingAbdullahCity,DubaiJebelAli
DubaiJebelAli,Singapore
Singapore,ShekouShenzhenChiwan
ShekouShenzhenChiwan,Busan
XingangTianjin,Qingdao
Qingdao,Gwangyang
Gwangyang,Ningbo
Shanghai,YantianShenzhen
YantianShenzhen,TanjungPelepas
TanjungPelepas,Algeciras
Algeciras,Bremerhaven
Bremerhaven,GdanskPoland
GdanskPoland,Bremerhaven
Bremerhaven,Rotterdam
Rotterdam,TanjungPelepas
TanjungPelepas,Shanghai
Shanghai,XingangTianjin
NewYorkNYNJ,NorfolkVA
NorfolkVA,BaltimoreMD
BaltimoreMD,CharlestonSC
CharlestonSC,SavannahGA
SavannahGA,PortEvergladesFL
PortEvergladesFL,CaucedoDomRep
CaucedoDomRep,Santos
Santos,BuenosAires
BuenosAires,Montevideo
Montevideo,RioGrandeBR
RioGrandeBR,NavegantesnearItajai
NavegantesnearItajai,Paranagua
Paranagua,Santos
Santos,RiodeJaneiro
RiodeJaneiro,Salvador
Salvador,Suape
Suape,CaucedoDomRep
CaucedoDomRep,NewYorkNYNJ
Shanghai,Xiamen
Xiamen,ShekouShenzhenChiwan
Ningbo,Busan
Busan,ManzanilloMEX
LazaroCardenasMEX,Rodman
Rodman,Buenaventura
Buenaventura,Callao
Callao,SanAntonioCL
SanAntonioCL,Coronel
Coronel,Lirquen
Lirquen,SanAntonioCL
SanAntonioCL,Mejillones
Mejillones,Callao
Callao,ManzanilloMEX
ManzanilloMEX,Yokohama
Yokohama,Busan
Chittagong,Mongla
Mongla,Singapore
Valencia,HalifaxNovaScotia
HalifaxNovaScotia,MontrealQuebec
MontrealQuebec,HalifaxNovaScotia
HalifaxNovaScotia,Barcelona
Barcelona,Valencia
Felixstowe,Hamburg
Hamburg,Bremerhaven
Bremerhaven,Antwerp
Antwerp,Piraeus
Piraeus,GebzeIstanbul
GebzeIstanbul,AmbarliIstanbul
GemlikIstanbul,Aliaga
Aliaga,Valencia
Valencia,Felixstowe
SanDiegoCA,Honolulu
Honolulu,HiloHI
HiloHI,Kahului
Kahului,HiloHI
HiloHI,SanDiegoCA
Antwerp,Bremerhaven
Bremerhaven,LeHavre
LeHavre,LiverpoolUK
LiverpoolUK,MontrealQuebec
MontrealQuebec,Antwerp
Ningbo,Nansha
Nansha,Singapore
Singapore,TanjungPelepas
TanjungPelepas,Mombasa
Mombasa,TanjungPelepas
TanjungPelepas,Singapore
Singapore,Shanghai
YantianShenzhen,Xiamen
