source,target
Shanghai,Ningbo
Ningbo,Taipei
Taipei,Xiamen
Xiamen,ShekouShenzhenChiwan
ShekouShenzhenChiwan,Singapore
Singapore,Djibouti
Djibouti,Jeddah
Jeddah,Sokhna
Sokhna,Aqaba
Aqaba,Djibouti
Djibouti,Singapore
Singapore,Shanghai
ReykjavikIceland,ArgentiaNewfoundland
ArgentiaNewfoundland,HalifaxNovaScotia
HalifaxNovaScotia,PortlandME
PortlandME,ArgentiaNewfoundland
ArgentiaNewfoundland,ReykjavikIceland
Balboa,Guayaquil
Guayaquil,Callao
Callao,Paita
Paita,Guayaquil
Guayaquil,Balboa
Guayaquil,Rodman
Rodman,Guayaquil
Kawasaki,Kobe
Kobe,ShimonosekiChofu
ShimonosekiChofu,XingangTianjin
XingangTianjin,Shanghai
Shanghai,Singapore
Singapore,Mombasa
Mombasa,DaresSalaam
DaresSalaam,Maputo
Maputo,Durban
Durban,Singapore
Singapore,Hitachinaka
Kaohsiung,Xiamen
Xiamen,HongKong
HongKong,ShekouShenzhenChiwan
Singapore,PortKelang
PortKelang,Durban
Durban,CapeTown
CapeTown,PortKelang
PortKelang,Singapore
Singapore,Kaohsiung
Qingdao,Ningbo
Ningbo,Shanghai
Shanghai,Busan
Busan,ManzanilloPanama
ManzanilloPanama,NewYorkNYNJ
NewYorkNYNJ,BostonMA
BostonMA,WilmingtonNC
WilmingtonNC,SavannahGA
SavannahGA,CharlestonSC
CharlestonSC,ManzanilloPanama
ManzanilloPanama,Busan
Busan,Qingdao
Bremerhaven,Zeebrugge
Zeebrugge,SouthamptonUK
SouthamptonUK,BaltimoreMD
BaltimoreMD,SavannahGA
SavannahGA,ManzanilloPanama
ManzanilloPanama,Auckland
Auckland,BrisbaneAU
BrisbaneAU,PortKembla
PortKembla,MelbourneAU
MelbourneAU,Fremantle
Fremantle,Singapore
Singapore,Inchon
Inchon,Masan
Masan,Kobe
Kobe,Nagoya
Nagoya,Yokohama
Yokohama,Hitachinaka
Hitachinaka,TacomaWA
TacomaWA,LongBeach
LongBeach,LazaroCardenasMEX
LazaroCardenasMEX,ManzanilloPanama
ManzanilloPanama,BrunswickGA
BrunswickGA,SavannahGA
SavannahGA,NorfolkVA
NorfolkVA,BaltimoreMD
BaltimoreMD,NewarkNJ
NewarkNJ,Zeebrugge
Zeebrugge,Bremerhaven
Bremerhaven,SouthamptonUK
Gwangyang,Busan
Busan,Shanghai
Ningbo,ShekouShenzhenChiwan
PortKelang,MumbaiNhavaSheva
MumbaiNhavaSheva,Mundra
Mundra,Karachi
Karachi,PortKelang
Singapore,DaChanBayShenzhen
DaChanBayShenzhen,HongKong
HongKong,Gwangyang
Yokohama,Ningbo
Shanghai,Xiamen
Xiamen,TanjungPelepas
TanjungPelepas,Colombo
Colombo,Felixstowe
Felixstowe,Rotterdam
Rotterdam,Bremerhaven
Bremerhaven,TangerMorocco
TangerMorocco,Salalah
Salalah,Nansha
Nansha,HongKong
HongKong,Nansha
HongKong,YantianShenzhen
YantianShenzhen,Xiamen
Xiamen,LosAngelesCA
LosAngelesCA,Yokohama
Shanghai,Kaohsiung
Kaohsiung,ShekouShenzhenChiwan
ShekouShenzhenChiwan,Colombo
Colombo,Antwerp
Antwerp,Hamburg
Hamburg,Rotterdam
Rotterdam,PortKelang
PortKelang,Ningbo
HongKong,CaiMepnearHoChiMinh
CaiMepnearHoChiMinh,Singapore
PortKelang,Colombo
Colombo,HalifaxNovaScotia
HalifaxNovaScotia,NewYorkNYNJ
NewYorkNYNJ,NorfolkVA
NorfolkVA,SavannahGA
CharlestonSC,PortKelang
Singapore,Jakarta
Jakarta,LaemChabangThailand
LaemChabangThailand,CaiMepnearHoChiMinh
CaiMepnearHoChiMinh,LosAngelesCA
LosAngelesCA,OaklandCA
OaklandCA,HongKong
CaiMepnearHoChiMinh,PortKelang
TanjungPelepas,Singapore
