source,target
LaemChabangThailand,Singapore
Singapore,PortKelang
PortKelang,Kattupalli
Kattupalli,ChennaiMadras
ChennaiMadras,Kattupalli
ChennaiMadras,PortKelang
PortKelang,Singapore
Singapore,LaemChabangThailand
Tarragona,Barcelona
Barcelona,Valencia
Valencia,LasPalmasCanIs
LasPalmasCanIs,TenerifeCanIs
TenerifeCanIs,ArrecifeCanIs
ArrecifeCanIs,PuertodelRosarioCanIs
PuertodelRosarioCanIs,Cadiz
Cadiz,Valencia
Valencia,Tarragona
FernandinaBeachFL,HamiltonBermuda
HamiltonBermuda,FernandinaBeachFL
PortEvergladesFL,RioHaina
RioHaina,PortauPrince
PortauPrince,PortEvergladesFL
PortEvergladesFL,PortauPrince
PortauPrince,CapHaitien
CapHaitien,PortEvergladesFL
MoinBay,PuertoCastilla
PuertoCastilla,PortEvergladesFL
PortEvergladesFL,WilmingtonDE
WilmingtonDE,MoinBay
Kaohsiung,ShekouShenzhenChiwan
ShekouShenzhenChiwan,HongKong
HongKong,Ningbo
Ningbo,Shanghai
Shanghai,ManzanilloMEX
ManzanilloMEX,LazaroCardenasMEX
LazaroCardenasMEX,PuertoQuetzal
PuertoQuetzal,Callao
Callao,Guayaquil
Guayaquil,ManzanilloMEX
ManzanilloMEX,Busan
Busan,Kaohsiung
Shanghai,Ningbo
Ningbo,HongKong
HongKong,ShekouShenzhenChiwan
ShekouShenzhenChiwan,Singapore
PortKelang,ChennaiMadras
Kattupalli,PortKelang
Singapore,Haiphong
Haiphong,Shanghai
NewYorkNYNJ,HamiltonBermuda
HamiltonBermuda,NewYorkNYNJ
PalmBeachFL,Providenciales
Providenciales,PalmBeachFL
Kaohsiung,HongKong
PortKelang,Colombo
Colombo,MumbaiNhavaSheva
MumbaiNhavaSheva,PortKelang
Singapore,Kaohsiung
JacksonvilleFL,NassauBahamas
NassauBahamas,FreeportBahamas
FreeportBahamas,JacksonvilleFL
Antwerp,Rotterdam
Rotterdam,Bremerhaven
Bremerhaven,NorfolkVA
NorfolkVA,CharlestonSC
CharlestonSC,HoustonTX
HoustonTX,NorfolkVA
NorfolkVA,Antwerp
CartagenaColombia,Paita
Paita,PuertodePosorja
PuertodePosorja,Guayaquil
Guayaquil,Buenaventura
Buenaventura,CartagenaColombia
Shanghai,Xiamen
Xiamen,ShekouShenzhenChiwan
Ningbo,Busan
Busan,ManzanilloMEX
LazaroCardenasMEX,Rodman
Rodman,Buenaventura
Buenaventura,Callao
Callao,SanAntonioCL
SanAntonioCL,Coronel
Coronel,Lirquen
Lirquen,SanAntonioCL
SanAntonioCL,Mejillones
Mejillones,Callao
Callao,ManzanilloMEX
ManzanilloMEX,Yokohama
Yokohama,Busan
Busan,Shanghai
Shanghai,Nansha
Nansha,YantianShenzhen
YantianShenzhen,TanjungPelepas
TanjungPelepas,Colombo
Colombo,TangerMorocco
TangerMorocco,Felixstowe
Felixstowe,Hamburg
Hamburg,Antwerp
Antwerp,LondonGateway
LondonGateway,LeHavre
LeHavre,TangerMorocco
TangerMorocco,Salalah
Salalah,AbuDhabi
AbuDhabi,DubaiJebelAli
DubaiJebelAli,Ningbo
PortEvergladesFL,SantoTomasdeCastilla
SantoTomasdeCastilla,PuertoCortes
PuertoCortes,PortEvergladesFL
Ningbo,Fuqing
Fuqing,ShekouShenzhenChiwan
Colombo,Karachi
Karachi,Mundra
Mundra,PortKelang
Singapore,Shanghai
Singapore,Chittagong
Chittagong,Singapore
XingangTianjin,Dalian
Dalian,Busan
Busan,Ningbo
Shanghai,ShekouShenzhenChiwan
Singapore,PortSaidEgypt
PortSaidEgypt,Haifa
Haifa,PortSaidEgypt
Haifa,Koper
Koper,Trieste
Trieste,RijekaCroatia
RijekaCroatia,Trieste
Trieste,PortSaidEgypt
PortSaidEgypt,KingAbdullahCity
KingAbdullahCity,Salalah
Salalah,Singapore
Singapore,XingangTianjin
Qingdao,Shanghai
Busan,LongBeach
LongBeach,OaklandCA
OaklandCA,Qingdao
HalifaxNovaScotia,PalmBeachFL
PalmBeachFL,SanJuanPR
SanJuanPR,StJohnVI
StJohnVI,StThomasVI
StThomasVI,VirginGorda
VirginGorda,StMaartenPhilipsburg
StMaartenPhilipsburg,RoadTownTortola
RoadTownTortola,CaucedoDomRep
CaucedoDomRep,HalifaxNovaScotia
Singapore,ShekouShenzhenChiwan
HongKong,Kaohsiung
Kaohsiung,Ningbo
Shanghai,Qingdao
Qingdao,Busan
ManzanilloMEX,Balboa
Balboa,ManzanilloPanama
ManzanilloPanama,CartagenaColombia
CartagenaColombia,KingstonJM
KingstonJM,CaucedoDomRep
CaucedoDomRep,Singapore
AltamiraMEX,VeracruzMEX
VeracruzMEX,KingstonJM
KingstonJM,RioHaina
RioHaina,SanJuanPR
SanJuanPR,KingstonJM
KingstonJM,AltamiraMEX
DubaiJebelAli,Hamad
Hamad,DubaiJebelAli
DubaiJebelAli,Mundra
Mundra,MumbaiNhavaSheva
MumbaiNhavaSheva,Hamad
NewYorkNYNJ,NorfolkVA
NorfolkVA,BaltimoreMD
BaltimoreMD,CharlestonSC
CharlestonSC,SavannahGA
SavannahGA,PortEvergladesFL
PortEvergladesFL,CaucedoDomRep
CaucedoDomRep,Santos
Santos,BuenosAires
BuenosAires,Montevideo
Montevideo,RioGrandeBR
RioGrandeBR,NavegantesnearItajai
NavegantesnearItajai,Paranagua
Paranagua,Santos
Santos,RiodeJaneiro
RiodeJaneiro,Salvador
Salvador,Suape
Suape,CaucedoDomRep
CaucedoDomRep,NewYorkNYNJ
Rotterdam,Antwerp
Antwerp,CaucedoDomRep
CaucedoDomRep,CartagenaColombia
CartagenaColombia,CristobalPanama
CristobalPanama,Rodman
Callao,Valparaiso
Valparaiso,Coronel
Coronel,Valparaiso
Valparaiso,Callao
Callao,Rodman
Rodman,CristobalPanama
CristobalPanama,Rotterdam
YantianShenzhen,HongKong
Shanghai,PrinceRupertBC
PrinceRupertBC,VancouverBC
VancouverBC,Shanghai
Shanghai,HongKong
HongKong,YantianShenzhen
YantianShenzhen,Ningbo
YantianShenzhen,Xiamen
Xiamen,Ningbo
Shanghai,Busan
Busan,NewYorkNYNJ
BaltimoreMD,NewYorkNYNJ
NewYorkNYNJ,Salalah
Salalah,Colombo
Colombo,TanjungPelepas
TanjungPelepas,YantianShenzhen
Singapore,CaiMepnearHoChiMinh
CaiMepnearHoChiMinh,HongKong
ShekouShenzhenChiwan,Ningbo
Busan,HoustonTX
HoustonTX,MobileAL
MobileAL,NewOrleansLA
NewOrleansLA,MiamiFL
MiamiFL,Singapore
LaemChabangThailand,CaiMepnearHoChiMinh
CaiMepnearHoChiMinh,YantianShenzhen
YantianShenzhen,LosAngelesCA
LosAngelesCA,TacomaWA
TacomaWA,LaemChabangThailand
Shanghai,Sydney
Sydney,MelbourneAU
MelbourneAU,BrisbaneAU
BrisbaneAU,Xiamen
AlexandriaEgypt,Mersin
Mersin,Haifa
Haifa,GenoaIT
GenoaIT,MarseillesFosFos
MarseillesFosFos,Barcelona
Valencia,CasablancaMorocco
CasablancaMorocco,Algeciras
Algeciras,AlexandriaEgypt
MarseillesFosMars,Barcelona
Algeciras,CasablancaMorocco
Algeciras,Ghazaouet
Ghazaouet,MarseillesFosMars
Hamad,Dammam
Dammam,Hamad
Dammam,Jubail
Jubail,DubaiJebelAli
DubaiJebelAli,Karachi
Karachi,DubaiJebelAli
MaltaMarsaxlokk,NaplesIT
NaplesIT,Leghorn
Leghorn,GenoaIT
GenoaIT,Leghorn
GenoaIT,Sines
Sines,MontrealQuebec
MontrealQuebec,MaltaMarsaxlokk
Valencia,HalifaxNovaScotia
HalifaxNovaScotia,MontrealQuebec
MontrealQuebec,HalifaxNovaScotia
HalifaxNovaScotia,Barcelona
MumbaiNhavaSheva,Colombo
Colombo,Valencia
Valencia,NewYorkNYNJ
NorfolkVA,SavannahGA
SavannahGA,Mundra
Hamburg,Rotterdam
Antwerp,LeHavre
LeHavre,Limassol
Limassol,Ashdod
Ashdod,Haifa
Haifa,Ashdod
Ashdod,Valencia
Valencia,Felixstowe
Hamburg,Bremerhaven
Bremerhaven,Hamburg
Bremerhaven,Antwerp
Antwerp,Piraeus
Piraeus,GebzeIstanbul
GebzeIstanbul,AmbarliIstanbul
AmbarliIstanbul,GemlikIstanbul
GemlikIstanbul,Aliaga
Aliaga,Valencia
TangerMorocco,Algeciras
Algeciras,Vigo
Vigo,Leixoes
Leixoes,Setubal
Setubal,TangerMorocco
Tilbury,Hamburg
Rotterdam,Tilbury
Tilbury,Ferrol
Ferrol,LasPalmasCanIs
TenerifeCanIs,CasablancaMorocco
CasablancaMorocco,Cadiz
Cadiz,Huelva
Huelva,Tilbury
PortEvergladesFL,GeorgetownGrandCayman
GeorgetownGrandCayman,PortEvergladesFL
NewYorkNYNJ,BaltimoreMD
CharlestonSC,PortEvergladesFL
PortEvergladesFL,CartagenaColombia
CartagenaColombia,ManzanilloPanama
ManzanilloPanama,PortEvergladesFL
PortEvergladesFL,NewYorkNYNJ
JacksonvilleFL,SanJuanPR
SanJuanPR,JacksonvilleFL
MiamiFL,MoinBay
MoinBay,ManzanilloPanama
ManzanilloPanama,Guayaquil
Guayaquil,Callao
Guayaquil,ManzanilloPanama
ManzanilloPanama,MiamiFL
Busan,MobileAL
MobileAL,HoustonTX
HoustonTX,NewOrleansLA
MiamiFL,FreeportBahamas
FreeportBahamas,MiamiFL
FreeportBahamas,Rodman
Rodman,Busan
Xiamen,YantianShenzhen
YantianShenzhen,Shanghai
Busan,CristobalPanama
CristobalPanama,SavannahGA
SavannahGA,NorfolkVA
NorfolkVA,NewYorkNYNJ
NewYorkNYNJ,Singapore
Singapore,Xiamen
Singapore,Kolkata
Kolkata,Haldia
Haldia,Singapore
Ningbo,Xiamen
PortSaidEgypt,Beirut
Beirut,PortSaidEgypt
Beirut,TripoliLebanon
TripoliLebanon,Izmit
Izmit,AmbarliIstanbul
AmbarliIstanbul,Constanza
Constanza,OdessaUA
OdessaUA,Piraeus
Piraeus,PortSaidEgypt
PortSaidEgypt,Jeddah
Jeddah,PortKelang
PortKelang,Busan
XingangTianjin,Qingdao
Qingdao,Gwangyang
Gwangyang,Ningbo
Shanghai,YantianShenzhen
TanjungPelepas,Algeciras
Algeciras,Bremerhaven
Bremerhaven,GdanskPoland
GdanskPoland,Bremerhaven
Bremerhaven,Rotterdam
Rotterdam,TanjungPelepas
TanjungPelepas,Shanghai
Shanghai,XingangTianjin
Shanghai,LongBeach
LongBeach,Ningbo
Ningbo,LosAngelesCA
LosAngelesCA,Shanghai
SeattleWA,VancouverBC
VancouverBC,Tomakomai
Tomakomai,Busan
Busan,HakataFukuoka
HakataFukuoka,Osaka
Osaka,Nagoya
Nagoya,Shimizu
Shimizu,Tokyo
Tokyo,EverettWA
EverettWA,SeattleWA
GioiaTauro,NaplesIT
NaplesIT,LaSpezia
LaSpezia,Barcelona
Valencia,Algeciras
Algeciras,Sines
Sines,FreeportBahamas
MiamiFL,VeracruzMEX
VeracruzMEX,AltamiraMEX
AltamiraMEX,HoustonTX
FreeportBahamas,Sines
Sines,Algeciras
Algeciras,Barcelona
Barcelona,GioiaTauro
HoustonTX,AltamiraMEX
VeracruzMEX,SantoTomasdeCastilla
PuertoCortes,PuertoLimon
PuertoLimon,ManzanilloPanama
CartagenaColombia,SantaMarta
SantaMarta,CaucedoDomRep
CaucedoDomRep,SanJuanPR
SanJuanPR,SantaMarta
SantaMarta,CartagenaColombia
ManzanilloPanama,PuertoLimon
PuertoLimon,SantoTomasdeCastilla
PuertoCortes,HoustonTX
HoustonTX,CristobalPanama
CristobalPanama,CartagenaColombia
CartagenaColombia,Suape
Suape,Santos
