source,target
CristobalPanama,ManzanilloPanama
ManzanilloPanama,PortofSpainTrinidad
PortofSpainTrinidad,Macapa
Macapa,Manaus
Manaus,Macapa
Macapa,ViladoCondenearBelem
ViladoCondenearBelem,CristobalPanama
Shanghai,Ningbo
Ningbo,YantianShenzhen
YantianShenzhen,HongKong
HongKong,Singapore
Singapore,RiodeJaneiro
RiodeJaneiro,Santos
Santos,Paranagua
Paranagua,NavegantesnearItajai
NavegantesnearItajai,Montevideo
Montevideo,BuenosAires
BuenosAires,RioGrandeBR
RioGrandeBR,NavegantesnearItajai
NavegantesnearItajai,Paranagua
Paranagua,Santos
Santos,Singapore
Singapore,HongKong
HongKong,Shanghai
Tarragona,Barcelona
Barcelona,Valencia
Valencia,LasPalmasCanIs
LasPalmasCanIs,TenerifeCanIs
TenerifeCanIs,ArrecifeCanIs
ArrecifeCanIs,PuertodelRosarioCanIs
PuertodelRosarioCanIs,Cadiz
Cadiz,Valencia
Valencia,Tarragona
PortEvergladesFL,RioHaina
RioHaina,PortauPrince
PortauPrince,PortEvergladesFL
PortEvergladesFL,PortauPrince
PortauPrince,CapHaitien
CapHaitien,PortEvergladesFL
MoinBay,PuertoCastilla
PuertoCastilla,PortEvergladesFL
PortEvergladesFL,WilmingtonDE
WilmingtonDE,MoinBay
Guayaquil,PuertoCaldera
PuertoCaldera,PuertoQuetzal
PuertoQuetzal,SanDiegoCA
SanDiegoCA,Guayaquil
Singapore,TanjungPelepas
TanjungPelepas,PortKelang
PortKelang,Colombo
Colombo,MaleMaldives
MaleMaldives,VictoriaMaheSeychellesIs
VictoriaMaheSeychellesIs,DaresSalaam
DaresSalaam,Colombo
Colombo,Singapore
Qingdao,Ningbo
Ningbo,Shanghai
Shanghai,Busan
Busan,ColonPanama
ColonPanama,SavannahGA
SavannahGA,CharlestonSC
CharlestonSC,BostonMA
BostonMA,NewYorkNYNJ
NewYorkNYNJ,ColonPanama
ColonPanama,Qingdao
Turbo,MoinBay
MoinBay,SanJuanPR
SanJuanPR,Antwerp
Antwerp,SanJuanPR
SanJuanPR,Turbo
Valencia,TangerMorocco
TangerMorocco,CasablancaMorocco
CasablancaMorocco,Valencia
HongKong,ShekouShenzhenChiwan
ShekouShenzhenChiwan,YantianShenzhen
YantianShenzhen,Kaohsiung
Kaohsiung,VancouverBC
VancouverBC,SeattleWA
SeattleWA,Busan
Busan,Kaohsiung
Kaohsiung,ShekouShenzhenChiwan
ShekouShenzhenChiwan,HongKong
HongKong,YantianShenzhen
HoustonTX,NewOrleansLA
NewOrleansLA,PuertoBarrios
PuertoBarrios,PuertoCortes
PuertoCortes,CartagenaColombia
CartagenaColombia,ManzanilloPanama
ManzanilloPanama,CristobalPanama
CristobalPanama,PuertoCortes
PuertoCortes,PuertoBarrios
PuertoBarrios,HoustonTX
PalmBeachFL,Providenciales
Providenciales,PalmBeachFL
XingangTianjin,Busan
Busan,Gwangyang
Gwangyang,Ningbo
Shanghai,Nansha
Nansha,ShekouShenzhenChiwan
ShekouShenzhenChiwan,Singapore
Singapore,Colombo
Colombo,Lome
Lome,Tema
Tema,Durban
Durban,PortLouis
PortLouis,Colombo
Singapore,XingangTianjin
Ningbo,ShekouShenzhenChiwan
Singapore,PortLouis
PortLouis,Durban
Durban,DubaiJebelAli
DubaiJebelAli,Mundra
Mundra,MumbaiNhavaSheva
MumbaiNhavaSheva,HaziraGujarat
HaziraGujarat,MumbaiNhavaSheva
HaziraGujarat,Colombo
Singapore,Shanghai
Singapore,Chittagong
Chittagong,Singapore
LondonGateway,Rotterdam
Rotterdam,Antwerp
Antwerp,Rotterdam
Antwerp,Piraeus
Piraeus,Thessaloniki
Thessaloniki,Izmir
Izmir,Piraeus
Piraeus,Sines
Sines,LondonGateway
JacksonvilleFL,NassauBahamas
NassauBahamas,FreeportBahamas
FreeportBahamas,JacksonvilleFL
Rotterdam,Bremerhaven
Bremerhaven,NorfolkVA
NorfolkVA,CharlestonSC
CharlestonSC,HoustonTX
HoustonTX,NorfolkVA
NorfolkVA,Antwerp
CartagenaColombia,Paita
Paita,PuertodePosorja
PuertodePosorja,Guayaquil
Guayaquil,Buenaventura
Buenaventura,CartagenaColombia
Qingdao,Shanghai
Ningbo,Singapore
Singapore,Durban
Durban,Singapore
Shanghai,Qingdao
Busan,CartagenaColombia
CartagenaColombia,NewYorkNYNJ
NewYorkNYNJ,NorfolkVA
NorfolkVA,WilmingtonNC
WilmingtonNC,SavannahGA
CharlestonSC,CartagenaColombia
CartagenaColombia,Busan
Busan,Qingdao
Shanghai,Xiamen
Xiamen,ShekouShenzhenChiwan
HongKong,Ningbo
Ningbo,Busan
Busan,ManzanilloMEX
ManzanilloMEX,LazaroCardenasMEX
LazaroCardenasMEX,Rodman
Rodman,Buenaventura
Buenaventura,Callao
Callao,SanAntonioCL
SanAntonioCL,Coronel
Coronel,Lirquen
Lirquen,SanAntonioCL
SanAntonioCL,Mejillones
Mejillones,Callao
Callao,ManzanilloMEX
ManzanilloMEX,Yokohama
Yokohama,Busan
Busan,Shanghai
Nansha,YantianShenzhen
YantianShenzhen,TanjungPelepas
TanjungPelepas,Colombo
Colombo,TangerMorocco
TangerMorocco,Felixstowe
Felixstowe,Hamburg
Hamburg,Antwerp
Antwerp,LondonGateway
LondonGateway,LeHavre
LeHavre,TangerMorocco
TangerMorocco,Salalah
