source,target
Shanghai,Ningbo
Ningbo,Taipei
Taipei,Xiamen
Xiamen,ShekouShenzhenChiwan
ShekouShenzhenChiwan,Singapore
Singapore,Djibouti
Djibouti,Jeddah
Jeddah,Sokhna
Sokhna,Aqaba
Aqaba,Djibouti
Djibouti,Singapore
Singapore,Shanghai
Hamburg,Antwerp
Antwerp,Bilbao
Bilbao,Vitoria
Vitoria,RiodeJaneiro
RiodeJaneiro,BuenosAires
Bilbao,Callao
Callao,Mejillones
Mejillones,Valparaiso
CristobalPanama,ManzanilloPanama
ManzanilloPanama,PortofSpainTrinidad
PortofSpainTrinidad,Macapa
Macapa,Manaus
Manaus,Macapa
Macapa,ViladoCondenearBelem
ViladoCondenearBelem,CristobalPanama
Guayaquil,Rodman
Rodman,Guayaquil
PortKelang,Singapore
Singapore,Auckland
Auckland,Lyttelton
Lyttelton,WellingtonWGN
WellingtonWGN,Napier
Napier,Tauranga
Tauranga,BrisbaneAU
BrisbaneAU,PortKelang
LaemChabangThailand,Singapore
Singapore,PortKelang
PortKelang,Colombo
Colombo,DubaiJebelAli
DubaiJebelAli,Karachi
Karachi,Mundra
Mundra,Colombo
Colombo,PortKelang
Singapore,LaemChabangThailand
Antwerp,LeHavre
LeHavre,LisbonPT
LisbonPT,Algeciras
Algeciras,PointeNoire
PointeNoire,Luanda
Luanda,Kribi
Kribi,Douala
Douala,Antwerp
FreeportTX,JacksonvilleFL
JacksonvilleFL,NewYorkNYNJ
NewYorkNYNJ,BaltimoreMD
BaltimoreMD,WilmingtonDE
WilmingtonDE,TangerMorocco
TangerMorocco,GemlikIstanbul
GemlikIstanbul,Beirut
Beirut,Aqaba
Aqaba,Jeddah
Jeddah,Sohar
Sohar,DubaiJebelAli
DubaiJebelAli,AbuDhabi
AbuDhabi,Hamad
Hamad,Bahrain
Bahrain,Dammam
Dammam,Kuwait
Kuwait,Singapore
PortKelang,ChennaiMadras
ChennaiMadras,Vishakhapatnam
Vishakhapatnam,Singapore
PortEvergladesFL,RioHaina
RioHaina,PortauPrince
PortauPrince,PortEvergladesFL
PortEvergladesFL,PortauPrince
PortauPrince,CapHaitien
CapHaitien,PortEvergladesFL
HoustonTX,ProgresoMEX
ProgresoMEX,HoustonTX
PanamaCityFL,ProgresoMEX
ProgresoMEX,PanamaCityFL
LongBeach,OaklandCA
OaklandCA,PapeeteTahiti
PapeeteTahiti,ApiaWSamoa
ApiaWSamoa,PagoPagoAmSamoa
PagoPagoAmSamoa,LongBeach
Guayaquil,PuertoCaldera
PuertoCaldera,PuertoQuetzal
PuertoQuetzal,SanDiegoCA
SanDiegoCA,Guayaquil
Singapore,TanjungPelepas
TanjungPelepas,PortKelang
Colombo,MaleMaldives
MaleMaldives,VictoriaMaheSeychellesIs
VictoriaMaheSeychellesIs,DaresSalaam
DaresSalaam,Colombo
Colombo,Singapore
Xiamen,Kaohsiung
Kaohsiung,HongKong
HongKong,YantianShenzhen
YantianShenzhen,ColonPanama
ColonPanama,SavannahGA
SavannahGA,NewYorkNYNJ
NewYorkNYNJ,NorfolkVA
NorfolkVA,BaltimoreMD
BaltimoreMD,ColonPanama
ColonPanama,Xiamen
ShekouShenzhenChiwan,HongKong
YantianShenzhen,Kaohsiung
Kaohsiung,VancouverBC
VancouverBC,SeattleWA
SeattleWA,Busan
Busan,Kaohsiung
Kaohsiung,ShekouShenzhenChiwan
Ningbo,Shanghai
Shanghai,Busan
Busan,HoustonTX
HoustonTX,NewOrleansLA
NewOrleansLA,MobileAL
MobileAL,MiamiFL
MiamiFL,FreeportBahamas
FreeportBahamas,MiamiFL
FreeportBahamas,Balboa
Balboa,Busan
Busan,Ningbo
Qingdao,Shanghai
Ningbo,LosAngelesCA
LosAngelesCA,OaklandCA
OaklandCA,Tokyo
Tokyo,Qingdao
Alicante,Barcelona
Barcelona,GenoaIT
GenoaIT,LasPalmasCanIs
